channel 9, range 144, amp 633, level 8, msec 1540981196347, tick 12518081
channel 9, range 144, amp 634, level 8, msec 1540981196354, tick 12518087
channel 8, range 141, amp 675, level 7, msec 1540981196361, tick 2227713
channel 8, range 141, amp 657, level 7, msec 1540981196361, tick 2227719
channel 9, range 143, amp 635, level 8, msec 1540981196360, tick 12518094
channel 8, range 141, amp 675, level 7, msec 1540981196371, tick 2227725
channel 9, range 144, amp 635, level 8, msec 1540981196366, tick 12518100
channel 9, range 144, amp 633, level 8, msec 1540981196372, tick 12518106
channel 8, range 144, amp 646, level 7, msec 1540981196373, tick 2227730
channel 8, range 143, amp 675, level 7, msec 1540981196379, tick 2227736
channel 8, range 143, amp 670, level 7, msec 1540981196383, tick 2227741
channel 9, range 144, amp 634, level 8, msec 1540981196379, tick 12518113
channel 8, range 141, amp 676, level 7, msec 1540981196392, tick 2227747
channel 9, range 144, amp 632, level 8, msec 1540981196385, tick 12518119
channel 9, range 143, amp 633, level 8, msec 1540981196391, tick 12518126
channel 8, range 143, amp 679, level 7, msec 1540981196396, tick 2227752
channel 8, range 141, amp 674, level 7, msec 1540981196401, tick 2227758
channel 9, range 144, amp 636, level 8, msec 1540981196399, tick 12518132
channel 9, range 144, amp 633, level 8, msec 1540981196408, tick 12518138
channel 9, range 144, amp 635, level 8, msec 1540981196411, tick 12518145
channel 8, range 143, amp 669, level 7, msec 1540981196406, tick 2227763
channel 8, range 143, amp 675, level 7, msec 1540981196412, tick 2227769
channel 8, range 145, amp 660, level 7, msec 1540981196418, tick 2227774
channel 8, range 145, amp 677, level 7, msec 1540981196424, tick 2227780
channel 8, range 143, amp 672, level 7, msec 1540981196428, tick 2227786
channel 9, range 144, amp 632, level 8, msec 1540981196437, tick 12518151
channel 9, range 143, amp 635, level 8, msec 1540981196438, tick 12518157
